country,iso3,gdp_pc_ppp_2024,population_2024
India,IND,11159.985647609126,1450935791
China,CHN,27104.8702677463,1408280000
United States,USA,85809.90038463591,340110988
Indonesia,IDN,16448.275517955855,283487931
Pakistan,PAK,6252.115431995586,251269164
Nigeria,NGA,9086.875506096267,232679478
Brazil,BRA,22338.476564063538,212583750
Bangladesh,BGD,9500.0,173562364
Russia,RUS,47000.0,143957079
Mexico,MEX,25900.0,130861007
Japan,JPN,52039.17165516113,124071000
Philippines,PHL,11794.137548849178,115843670
Ethiopia,ETH,3500.0,132059767
Egypt,EGY,19094.14494441113,116538258
DR Congo,COD,1400.0,109276265
Vietnam,VNM,14200.0,100987686
